img,label
screwdriver_case_kn_body000002.jpg,screwdriver_case_kn_body000002.txt
screwdriver_case_kn_body000003.jpg,screwdriver_case_kn_body000003.txt
screwdriver_case_kn_body000004.jpg,screwdriver_case_kn_body000004.txt
screwdriver_case_kn_body000005.jpg,screwdriver_case_kn_body000005.txt
screwdriver_case_kn_body000006.jpg,screwdriver_case_kn_body000006.txt
screwdriver_case_kn_body000007.jpg,screwdriver_case_kn_body000007.txt
screwdriver_case_kn_body000008.jpg,screwdriver_case_kn_body000008.txt
screwdriver_case_kn_body000009.jpg,screwdriver_case_kn_body000009.txt
screwdriver_case_kn_body000010.jpg,screwdriver_case_kn_body000010.txt
screwdriver_case_kn_body000011.jpg,screwdriver_case_kn_body000011.txt
screwdriver_case_kn_body000012.jpg,screwdriver_case_kn_body000012.txt
screwdriver_case_kn_body000013.jpg,screwdriver_case_kn_body000013.txt
screwdriver_case_kn_body000014.jpg,screwdriver_case_kn_body000014.txt
screwdriver_case_kn_body000015.jpg,screwdriver_case_kn_body000015.txt
screwdriver_case_kn_body000016.jpg,screwdriver_case_kn_body000016.txt
screwdriver_case_kn_body000017.jpg,screwdriver_case_kn_body000017.txt
screwdriver_case_kn_body000018.jpg,screwdriver_case_kn_body000018.txt
screwdriver_case_kn_body000019.jpg,screwdriver_case_kn_body000019.txt
screwdriver_case_kn_body000020.jpg,screwdriver_case_kn_body000020.txt
screwdriver_case_kn_body000037.jpg,screwdriver_case_kn_body000037.txt
screwdriver_case_kn_body000038.jpg,screwdriver_case_kn_body000038.txt
screwdriver_case_kn_body000039.jpg,screwdriver_case_kn_body000039.txt
screwdriver_case_kn_body000040.jpg,screwdriver_case_kn_body000040.txt
screwdriver_case_kn_body000048.jpg,screwdriver_case_kn_body000048.txt
screwdriver_case_kn_body000064.jpg,screwdriver_case_kn_body000064.txt
screwdriver_case_kn_body000065.jpg,screwdriver_case_kn_body000065.txt
screwdriver_case_kn_body000066.jpg,screwdriver_case_kn_body000066.txt
screwdriver_case_kn_body000067.jpg,screwdriver_case_kn_body000067.txt
screwdriver_case_kn_body000068.jpg,screwdriver_case_kn_body000068.txt
screwdriver_case_kn_body000069.jpg,screwdriver_case_kn_body000069.txt
screwdriver_case_kn_body000070.jpg,screwdriver_case_kn_body000070.txt
screwdriver_case_kn_body000071.jpg,screwdriver_case_kn_body000071.txt
screwdriver_case_kn_body000076.jpg,screwdriver_case_kn_body000076.txt
screwdriver_case_kn_body000077.jpg,screwdriver_case_kn_body000077.txt
screwdriver_case_kn_body000078.jpg,screwdriver_case_kn_body000078.txt
screwdriver_case_kn_body000092.jpg,screwdriver_case_kn_body000092.txt
screwdriver_case_kn_body000093.jpg,screwdriver_case_kn_body000093.txt
screwdriver_case_kn_body000094.jpg,screwdriver_case_kn_body000094.txt
screwdriver_case_kn_body000001.jpg,screwdriver_case_kn_body000001.txt
screwdriver_case_kn_body000104.jpg,screwdriver_case_kn_body000104.txt
screwdriver_case_kn_body000105.jpg,screwdriver_case_kn_body000105.txt
screwdriver_case_kn_body000109.jpg,screwdriver_case_kn_body000109.txt
screwdriver_case_kn_body000110.jpg,screwdriver_case_kn_body000110.txt
screwdriver_case_kn_body000111.jpg,screwdriver_case_kn_body000111.txt
screwdriver_case_kn_body000112.jpg,screwdriver_case_kn_body000112.txt
screwdriver_case_kn_body000113.jpg,screwdriver_case_kn_body000113.txt
screwdriver_case_kn_body000114.jpg,screwdriver_case_kn_body000114.txt
screwdriver_case_kn_body000115.jpg,screwdriver_case_kn_body000115.txt
screwdriver_case_kn_body000116.jpg,screwdriver_case_kn_body000116.txt
screwdriver_case_kn_body000117.jpg,screwdriver_case_kn_body000117.txt
screwdriver_case_kn_body000118.jpg,screwdriver_case_kn_body000118.txt
screwdriver_case_kn_body000119.jpg,screwdriver_case_kn_body000119.txt
screwdriver_case_kn_body000120.jpg,screwdriver_case_kn_body000120.txt
screwdriver_case_kn_body000121.jpg,screwdriver_case_kn_body000121.txt
screwdriver_case_kn_body000122.jpg,screwdriver_case_kn_body000122.txt
Genuine_E3d_titan_x_carriage000001.jpg,Genuine_E3d_titan_x_carriage000001.txt
Genuine_E3d_titan_x_carriage000002.jpg,Genuine_E3d_titan_x_carriage000002.txt
Genuine_E3d_titan_x_carriage000003.jpg,Genuine_E3d_titan_x_carriage000003.txt
Genuine_E3d_titan_x_carriage000004.jpg,Genuine_E3d_titan_x_carriage000004.txt
Genuine_E3d_titan_x_carriage000005.jpg,Genuine_E3d_titan_x_carriage000005.txt
Genuine_E3d_titan_x_carriage000006.jpg,Genuine_E3d_titan_x_carriage000006.txt
Genuine_E3d_titan_x_carriage000007.jpg,Genuine_E3d_titan_x_carriage000007.txt
Genuine_E3d_titan_x_carriage000008.jpg,Genuine_E3d_titan_x_carriage000008.txt
Genuine_E3d_titan_x_carriage000009.jpg,Genuine_E3d_titan_x_carriage000009.txt
Genuine_E3d_titan_x_carriage000010.jpg,Genuine_E3d_titan_x_carriage000010.txt
Genuine_E3d_titan_x_carriage000011.jpg,Genuine_E3d_titan_x_carriage000011.txt
Genuine_E3d_titan_x_carriage000012.jpg,Genuine_E3d_titan_x_carriage000012.txt
Genuine_E3d_titan_x_carriage000013.jpg,Genuine_E3d_titan_x_carriage000013.txt
Genuine_E3d_titan_x_carriage000014.jpg,Genuine_E3d_titan_x_carriage000014.txt
Genuine_E3d_titan_x_carriage000015.jpg,Genuine_E3d_titan_x_carriage000015.txt
Genuine_E3d_titan_x_carriage000016.jpg,Genuine_E3d_titan_x_carriage000016.txt
Genuine_E3d_titan_x_carriage000017.jpg,Genuine_E3d_titan_x_carriage000017.txt
Genuine_E3d_titan_x_carriage000018.jpg,Genuine_E3d_titan_x_carriage000018.txt
Genuine_E3d_titan_x_carriage000019.jpg,Genuine_E3d_titan_x_carriage000019.txt
Genuine_E3d_titan_x_carriage000020.jpg,Genuine_E3d_titan_x_carriage000020.txt
Genuine_E3d_titan_x_carriage000021.jpg,Genuine_E3d_titan_x_carriage000021.txt
Genuine_E3d_titan_x_carriage000022.jpg,Genuine_E3d_titan_x_carriage000022.txt
Genuine_E3d_titan_x_carriage000023.jpg,Genuine_E3d_titan_x_carriage000023.txt
Genuine_E3d_titan_x_carriage000024.jpg,Genuine_E3d_titan_x_carriage000024.txt
Genuine_E3d_titan_x_carriage000025.jpg,Genuine_E3d_titan_x_carriage000025.txt
Genuine_E3d_titan_x_carriage000026.jpg,Genuine_E3d_titan_x_carriage000026.txt
Genuine_E3d_titan_x_carriage000027.jpg,Genuine_E3d_titan_x_carriage000027.txt
Genuine_E3d_titan_x_carriage000028.jpg,Genuine_E3d_titan_x_carriage000028.txt
screwdriver_case_kn_body0001176.jpg,screwdriver_case_kn_body0001176.txt
screwdriver_case_kn_body0001131.jpg,screwdriver_case_kn_body0001131.txt
screwdriver_case_kn_body0001142.jpg,screwdriver_case_kn_body0001142.txt
screwdriver_case_kn_body0001151.jpg,screwdriver_case_kn_body0001151.txt
screwdriver_case_kn_body0001163.jpg,screwdriver_case_kn_body0001163.txt
Cable_clip000041.jpg,Cable_clip000041.txt
Cable_clip000040.jpg,Cable_clip000040.txt
Cable_clip000039.jpg,Cable_clip000039.txt
Cable_clip000038.jpg,Cable_clip000038.txt
Cable_clip000037.jpg,Cable_clip000037.txt
Cable_clip000036.jpg,Cable_clip000036.txt
Cable_clip000035.jpg,Cable_clip000035.txt
Cable_clip000034.jpg,Cable_clip000034.txt
Cable_clip000033.jpg,Cable_clip000033.txt
Cable_clip000032.jpg,Cable_clip000032.txt
Cable_clip000031.jpg,Cable_clip000031.txt
Cable_clip000030.jpg,Cable_clip000030.txt
Cable_clip000029.jpg,Cable_clip000029.txt
Cable_clip000028.jpg,Cable_clip000028.txt
Cable_clip000027.jpg,Cable_clip000027.txt
Cable_clip000026.jpg,Cable_clip000026.txt
Cable_clip000043.jpg,Cable_clip000043.txt
Cable_clip000042.jpg,Cable_clip000042.txt
latest_228fff41-9bf0-4085-8e09-cd2dcadffbf9.jpeg,latest_228fff41-9bf0-4085-8e09-cd2dcadffbf9.txt
Fore_brace000025.jpg,Fore_brace000025.txt
Fore_brace000026.jpg,Fore_brace000026.txt
Fore_brace000027.jpg,Fore_brace000027.txt
Fore_brace000028.jpg,Fore_brace000028.txt
Fore_brace000029.jpg,Fore_brace000029.txt
Fore_brace000030.jpg,Fore_brace000030.txt
Fore_brace000031.jpg,Fore_brace000031.txt
Fore_brace000032.jpg,Fore_brace000032.txt
Fore_brace000033.jpg,Fore_brace000033.txt
Fore_brace000034.jpg,Fore_brace000034.txt
Fore_brace000035.jpg,Fore_brace000035.txt
Back_brace000000.jpg,Back_brace000000.txt
Back_brace000001.jpg,Back_brace000001.txt
Back_brace000002.jpg,Back_brace000002.txt
Back_brace000003.jpg,Back_brace000003.txt
Back_brace000004.jpg,Back_brace000004.txt
Back_brace000005.jpg,Back_brace000005.txt
Back_brace000033.jpg,Back_brace000033.txt
Back_brace000034.jpg,Back_brace000034.txt
Back_brace000035.jpg,Back_brace000035.txt
Back_brace000036.jpg,Back_brace000036.txt
Back_brace000037.jpg,Back_brace000037.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000005.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000005.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000006.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000006.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000007.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000007.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000008.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000008.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000009.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000009.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000010.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000010.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000040.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000040.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000041.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000041.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000042.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000042.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000043.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000043.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000044.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000044.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000096.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000096.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000097.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000097.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000098.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000098.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000099.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000099.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000114.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000114.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000115.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000115.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000116.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000116.txt
CFFFP_Mr_Phone_Carrier_extended_octolapse000117.jpg,CFFFP_Mr_Phone_Carrier_extended_octolapse000117.txt
AS5600_hand_encoder000001.jpg,AS5600_hand_encoder000001.txt
AS5600_hand_encoder000002.jpg,AS5600_hand_encoder000002.txt
AS5600_hand_encoder000003.jpg,AS5600_hand_encoder000003.txt
AS5600_hand_encoder000004.jpg,AS5600_hand_encoder000004.txt
AS5600_hand_encoder000005.jpg,AS5600_hand_encoder000005.txt
AS5600_hand_encoder000006.jpg,AS5600_hand_encoder000006.txt
AS5600_hand_encoder000007.jpg,AS5600_hand_encoder000007.txt
AS5600_hand_encoder000008.jpg,AS5600_hand_encoder000008.txt
AS5600_hand_encoder000023.jpg,AS5600_hand_encoder000023.txt
AS5600_hand_encoder000024.jpg,AS5600_hand_encoder000024.txt
AS5600_hand_encoder000025.jpg,AS5600_hand_encoder000025.txt
AS5600_hand_encoder000026.jpg,AS5600_hand_encoder000026.txt
AS5600_hand_encoder000027.jpg,AS5600_hand_encoder000027.txt
AS5600_hand_encoder000028.jpg,AS5600_hand_encoder000028.txt
AS5600_hand_encoder000029.jpg,AS5600_hand_encoder000029.txt
Panasonic_outlet_holder_2_fastener000000.jpg,Panasonic_outlet_holder_2_fastener000000.txt
Panasonic_outlet_holder_2_fastener000001.jpg,Panasonic_outlet_holder_2_fastener000001.txt
Panasonic_outlet_holder_2_fastener000002.jpg,Panasonic_outlet_holder_2_fastener000002.txt
Panasonic_outlet_holder_2_fastener000003.jpg,Panasonic_outlet_holder_2_fastener000003.txt
Panasonic_outlet_holder_2_fastener000004.jpg,Panasonic_outlet_holder_2_fastener000004.txt
Panasonic_outlet_holder_2_fastener000005.jpg,Panasonic_outlet_holder_2_fastener000005.txt
Panasonic_outlet_holder_2_fastener000006.jpg,Panasonic_outlet_holder_2_fastener000006.txt
